[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=65, exam=123)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=65, exam=123)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=65, exam=123)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=65, exam=123)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=65, exam=123)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=65, exam=123)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=65, exam=123)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=65, exam=123)
