[heartbeat] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[heartbeat] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[heartbeat] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[heartbeat] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[heartbeat] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[vision] ROSTO_CENTRO (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[vision_frame] null (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
[vision] SEM_ROSTO (code=0, x=0, y=0, time=0, student=zxczxc, exam=zxczxcxzc)
